,fiber_100g,proteins_100g,vitamin-a_100g,vitamin-c_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,nutrition_grade_fr
0,2.5,2.5,0.0,0.0,20.0,70.0,57.5,0.038,e
1,2.0,22.0,0.0,0.0,12.0,23.0,0.0,0.85,c
2,2.0,3.33,0.0,0.0016,10.7,38.7,24.7,0.255,c
3,2.22,10.0,0.0,0.0,1.11,53.3,1.11,0.6,b
4,0.357,5.36,1.07e-05,0.000429,6.79,7.86,0.714,0.196,b
5,2.4,4.7,1.745e-05,0.0,33.3,53.8,51.5,0.0354330708661417,e
6,4.7,3.9,7.495e-05,0.0,7.0,54.2,44.0,0.078740157480315,c
7,4.7,3.9,7.495e-05,0.0,7.0,54.2,44.0,0.0787,c
8,0.0,0.0,0.000149,0.0105,0.0,10.4,10.4,0.01,e
9,0.0,0.0,0.000152,0.0165,0.0,10.4,10.4,0.0393700787401575,e
10,1.5,6.0,0.00018695,0.01675,23.0,55.0,26.0,0.259842519685039,d
11,1.8,5.8,7.7e-05,0.0,19.0,56.0,28.0,0.255905511811024,d
12,1.5,4.9,2.675e-05,0.0,15.0,60.0,34.0,0.236220472440945,d
13,1.7,8.0,0.000141075,0.0004,23.0,51.0,39.0,0.216535433070866,e
14,2.5,8.1,9.1075e-05,0.0004,24.0,50.0,37.0,0.307086614173228,e
15,3.6,7.14,0.0,0.0214,32.14,57.14,0.0,0.375,c
16,0.0,5.0,1.9725e-05,0.01506,0.0,75.0,57.5,0.05,d
17,0.0,0.0,0.000198975,0.008675,0.0,34.0,24.0,0.03,c
18,1.0,5.0,5.515e-05,0.0,18.0,57.0,31.0,0.248031496062992,d
19,0.1,0.9,0.0,0.2249999999999999,0.5,96.0,96.0,0.0,d
20,1.3,5.5,0.0,0.001035,29.1,58.4,33.5,0.393700787401575,e
21,2.7,4.4,0.0,0.0,23.25,60.325,41.2,0.295275590551181,e
22,2.5,6.1,7.5e-05,0.018,13.3,70.2,35.7,0.326771653543307,d
23,3.3,6.1,6.825e-05,0.0,20.8,63.6,31.8,0.224409448818898,e
24,1.1,8.4,2.3475e-05,0.0,12.1,7.949999999999999,2.9,0.295275590551181,a
25,0.8,4.1,0.0,0.003,1.64,9.02,0.82,0.492,b
26,1.0,0.3,0.00016,0.01275,1.4,3.6,2.7,0.248031496062992,b
27,1.0,5.3,8.49e-05,0.0,20.0,57.0,37.0,0.275590551181102,e
28,1.9,6.0,0.00017825,0.01675,26.8,54.2,29.4,0.145669291338583,d
29,0.752,9.77,9.02e-05,0.00271,12.0,25.6,3.76,0.481,d
30,0.1,24.5,1.34e-05,0.000535,2.0,4.3,2.9,0.78740157480315,c
31,0.8,0.8,0.00012,0.0253149999999999,2.1,5.3,2.4,0.295275590551181,b
